epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,49,1.13827645778656,0.7771949172019958,0.5854700207710266,1638.0,1638.0,50.0,1.050880789756775,0.7503806352615356,0.5308409333229065,1605.0,1605.0,50.0,1.2775741815567017,0.8633576035499573,0.5106917023658752,1590.0,1590.0,50.0,1.0160216093063354,0.7231382131576538,0.5743458867073059,1567.0,1567.0,50.0,1.12103271484375,1.12103271484375,0.5504686236381531,12503.4189453125,0.625170947265625
0,99,0.709459662437439,0.7650260925292969,0.5530444383621216,1593.0,1593.0,50.0,0.6804293394088745,0.665546178817749,0.6214194893836975,1606.0,1606.0,50.0,0.7204116582870483,0.7335079908370972,0.545628547668457,1567.0,1567.0,50.0,0.6633839011192322,0.6665846705436707,0.6389231085777283,1634.0,1634.0,50.0,0.6930928230285645,0.6930927038192749,0.5903124809265137,12391.693359375,0.61958466796875
0,149,0.6382603049278259,0.6336658000946045,0.6250802278518677,1555.0,1555.0,50.0,0.6591712236404419,0.6192999482154846,0.6371226906776428,1557.0,1557.0,50.0,0.6663802266120911,0.6619786024093628,0.5927069187164307,1618.0,1618.0,50.0,0.6150133013725281,0.595710813999176,0.6934131979942322,1670.0,1670.0,50.0,0.6443905234336853,0.6443905830383301,0.6376562118530273,12270.4072265625,0.613520361328125
0,199,0.6429609656333923,0.6480830907821655,0.6568009257316589,1588.0,1588.0,50.0,0.6350828409194946,0.6321565508842468,0.6487985849380493,1623.0,1623.0,50.0,0.6676880717277527,0.6876993775367737,0.6177390813827515,1601.0,1601.0,50.0,0.6283233761787415,0.6013292670249939,0.6517633199691772,1588.0,1588.0,50.0,0.6435167789459229,0.6435167789459229,0.6437500715255737,12157.4921875,0.607874609375
0,249,0.606189489364624,0.5960031747817993,0.6853657364845276,1640.0,1640.0,50.0,0.6486496329307556,0.6941608786582947,0.6135357022285461,1581.0,1581.0,50.0,0.6363580822944641,0.6010772585868835,0.6559139490127563,1581.0,1581.0,50.0,0.624973475933075,0.6779344081878662,0.6558196544647217,1598.0,1598.0,50.0,0.6288212537765503,0.6288211345672607,0.6529686450958252,12041.4951171875,0.602074755859375
0,294,0.5923486948013306,0.5733294486999512,0.6796767115592957,1486.0,1486.0,45.0,0.6300584077835083,0.6113815307617188,0.6492856740951538,1400.0,1400.0,45.0,0.6004787683486938,0.563965380191803,0.6872370839118958,1426.0,1426.0,45.0,0.614817202091217,0.6026012897491455,0.6732027530670166,1377.0,1377.0,45.0,0.6083700656890869,0.6091049313545227,0.6725258827209473,11938.4990234375,0.596924951171875
1,49,0.5989232659339905,0.5953220129013062,0.6828818321228027,1624.0,1624.0,50.0,0.5846193432807922,0.5493839979171753,0.6761186122894287,1587.0,1587.0,50.0,0.621434211730957,0.6323598027229309,0.6733373999595642,1549.0,1549.0,50.0,0.5736151337623596,0.570941686630249,0.6884146332740784,1640.0,1640.0,50.0,0.5943395495414734,0.5943394899368286,0.6803125143051147,11825.1533203125,0.591257666015625
1,99,0.5631806254386902,0.5643278956413269,0.7207595705986023,1633.0,1633.0,50.0,0.6124190092086792,0.6115837097167969,0.6636999845504761,1573.0,1573.0,50.0,0.5823084712028503,0.6240701675415039,0.6999377012252808,1603.0,1603.0,50.0,0.5924124717712402,0.5459007024765015,0.6788183450698853,1591.0,1591.0,50.0,0.5873401165008545,0.587340235710144,0.6910938620567322,11712.6865234375,0.585634326171875
1,149,0.5547930598258972,0.5571668744087219,0.7357097864151001,1627.0,1627.0,50.0,0.595255434513092,0.5804742574691772,0.6740260124206543,1540.0,1540.0,50.0,0.5581364631652832,0.5415117144584656,0.7378934025764465,1652.0,1652.0,50.0,0.6063290238380432,0.6053217649459839,0.6761542558670044,1581.0,1581.0,50.0,0.5781233906745911,0.5781233310699463,0.7067186832427979,11601.306640625,0.58006533203125
1,199,0.5883976221084595,0.5860863924026489,0.7079700231552124,1606.0,1606.0,50.0,0.5794894099235535,0.5412176847457886,0.6899939179420471,1629.0,1629.0,50.0,0.5942817330360413,0.6143299341201782,0.7121888995170593,1567.0,1567.0,50.0,0.545971155166626,0.5324820876121521,0.7171463370323181,1598.0,1598.0,50.0,0.5769776105880737,0.5769774913787842,0.7067187428474426,11491.3447265625,0.574567236328125
