epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,37,4.185323715209961,1.4506759643554688,0.5097198486328125,3498.0,3498.0,38.0,4.6617631912231445,1.6999441385269165,0.5489129424095154,184.0,184.0,38.0,6.186301231384277,1.679289698600769,0.4642857313156128,56.0,56.0,29.0,3.823613166809082,1.6223920583724976,0.5212865471839905,1057.0,1057.0,38.0,4.105480670928955,4.14724063873291,0.5132429599761963,88618.9140625,4.430945703125
1,37,1.1902366876602173,1.8132506608963013,0.5114351511001587,3498.0,3498.0,38.0,0.8100879192352295,0.9230208992958069,0.48913031816482544,184.0,184.0,38.0,1.5860291719436646,0.8100411295890808,0.4642857313156128,56.0,56.0,31.0,0.991522490978241,1.107965350151062,0.5137180685997009,1057.0,1057.0,38.0,1.1796495914459229,1.1364673376083374,0.5105318427085876,88779.2734375,4.438963671875
2,37,1.0588737726211548,1.0695059299468994,0.49771299958229065,3498.0,3498.0,38.0,0.7347911596298218,0.7026104927062988,0.5054346323013306,184.0,184.0,38.0,3.262951612472534,4.935606002807617,0.5,56.0,56.0,27.0,1.0661319494247437,1.208103060722351,0.5118259191513062,1057.0,1057.0,38.0,1.0719515085220337,1.0737786293029785,0.5011470317840576,88565.625,4.42828125
3,37,0.8271039724349976,0.8859954476356506,0.5171526670455933,3498.0,3498.0,38.0,0.7051134705543518,0.7097036242485046,0.5217391848564148,184.0,184.0,37.0,0.6769161224365234,0.9637748003005981,0.5178571343421936,56.0,56.0,25.0,0.7242627143859863,0.7031230330467224,0.5515609979629517,1057.0,1057.0,38.0,0.8003711700439453,0.7979986667633057,0.5249217748641968,89129.203125,4.45646015625
4,37,0.7699779272079468,0.7581676840782166,0.5331618189811707,3498.0,3498.0,38.0,0.7125083208084106,0.7201328873634338,0.5652173161506653,184.0,184.0,37.0,0.7781241536140442,0.7081239819526672,0.6071428656578064,56.0,56.0,31.0,0.8674514889717102,0.884821891784668,0.5553454756736755,1057.0,1057.0,38.0,0.7907369136810303,0.7893545627593994,0.540145993232727,88483.28125,4.4241640625
5,37,0.7625148892402649,0.7847409248352051,0.5686107873916626,3498.0,3498.0,38.0,0.6591202020645142,0.6579850912094116,0.5978262424468994,184.0,184.0,38.0,0.7746909856796265,0.8738282322883606,0.6071429252624512,56.0,56.0,31.0,0.7724682092666626,0.7847036123275757,0.5884578227996826,1057.0,1057.0,38.0,0.7601357698440552,0.7608835697174072,0.5745569467544556,87810.4765625,4.3905238281250005
6,37,0.7367070913314819,0.7350708842277527,0.5691823959350586,3498.0,3498.0,38.0,0.6985105276107788,0.6651335954666138,0.5923913717269897,184.0,184.0,38.0,0.7318391799926758,0.6856400966644287,0.6428571939468384,56.0,56.0,28.0,0.734431266784668,0.7020886540412903,0.5799433588981628,1057.0,1057.0,38.0,0.7349538803100586,0.7346827983856201,0.573305606842041,87142.9296875,4.357146484375
7,37,0.7454496622085571,0.7333568334579468,0.5740423202514648,3498.0,3498.0,38.0,0.6924405694007874,0.7024509906768799,0.6413043737411499,184.0,184.0,38.0,0.6999873518943787,0.7195166945457458,0.5714285373687744,56.0,56.0,30.0,0.6926489472389221,0.6791225671768188,0.5827813744544983,1057.0,1057.0,38.0,0.730660080909729,0.7312452793121338,0.5785192251205444,86480.515625,4.3240257812500005
8,37,0.7141085267066956,0.715370774269104,0.5694682002067566,3498.0,3498.0,38.0,0.6907427906990051,0.6818169355392456,0.5923912525177002,184.0,184.0,37.0,0.9303873181343079,0.6938526034355164,0.7142857909202576,56.0,56.0,30.0,0.7204710841178894,0.7091266512870789,0.594134509563446,1057.0,1057.0,38.0,0.7162877917289734,0.7171403169631958,0.5774765014648438,85826.5859375,4.291329296875
9,37,0.7268117666244507,0.7398644089698792,0.562321126461029,3498.0,3498.0,38.0,0.675232470035553,0.693280816078186,0.614130437374115,184.0,184.0,38.0,0.6563255190849304,0.7120439410209656,0.5892857909202576,56.0,56.0,29.0,0.6937711834907532,0.7247213125228882,0.5998108386993408,1057.0,1057.0,38.0,0.7162266373634338,0.7167258858680725,0.5728882551193237,85177.0703125,4.258853515625
