epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,49,1.0680185556411743,0.5758830904960632,0.571428656578064,14.0,14.0,11.0,1.6759506464004517,0.7153087854385376,0.4993778467178345,2411.0,2411.0,50.0,1.77631676197052,1.1575666666030884,0.5090908408164978,2145.0,2145.0,50.0,1.6582905054092407,0.8862946629524231,0.5114753246307373,1830.0,1830.0,50.0,1.7032095193862915,1.703209400177002,0.5062499642372131,12837.533203125,0.64187666015625
0,99,0.6880256533622742,0.7450414896011353,0.4545454680919647,11.0,11.0,11.0,0.7716063857078552,0.6886101961135864,0.4956772029399872,2429.0,2429.0,50.0,0.7014749050140381,0.704520583152771,0.5301823019981384,2137.0,2137.0,50.0,0.8258967399597168,0.8778945803642273,0.5216677188873291,1823.0,1823.0,50.0,0.7635098695755005,0.7635096311569214,0.5145312547683716,12734.5439453125,0.636727197265625
0,149,0.7620686292648315,0.7606701850891113,0.20000000298023224,5.0,5.0,5.0,0.6855193972587585,0.6217120289802551,0.5753898024559021,2308.0,2308.0,50.0,0.6856780648231506,0.7180240154266357,0.5761646032333374,2232.0,2232.0,50.0,0.6910750865936279,0.6083266139030457,0.5692722797393799,1855.0,1855.0,50.0,0.6872450113296509,0.6872448325157166,0.5735936164855957,12610.296875,0.63051484375
0,199,0.6243222951889038,0.5985519886016846,0.625,8.0,8.0,8.0,0.7019675374031067,0.6654144525527954,0.5922123789787292,2337.0,2337.0,50.0,0.697882890701294,0.6561418175697327,0.5921342372894287,2263.0,2263.0,50.0,0.7048236727714539,0.6723409295082092,0.583705484867096,1792.0,1792.0,50.0,0.701225757598877,0.7012258768081665,0.5898438096046448,12488.482421875,0.62442412109375
0,225,1.574474573135376,1.0865132808685303,0.5,2.0,2.0,1.0,0.6667815446853638,0.6893966197967529,0.6423173546791077,1191.0,1191.0,26.0,0.6763700842857361,0.6800991296768188,0.6327781677246094,1141.0,1141.0,26.0,0.6611506342887878,0.7126713991165161,0.6231732368469238,958.0,958.0,26.0,0.6690301895141602,0.6690177321434021,0.6333535313606262,12425.5869140625,0.621279345703125
1,49,0.429620623588562,0.44293028116226196,1.0,4.0,4.0,4.0,0.6684780716896057,0.6603779196739197,0.6360573172569275,2374.0,2374.0,50.0,0.6505370736122131,0.659044086933136,0.6371520161628723,2191.0,2191.0,50.0,0.6367303133010864,0.628061056137085,0.663025438785553,1831.0,1831.0,50.0,0.6531037092208862,0.6531039476394653,0.6443749666213989,12304.3359375,0.6152167968750001
1,99,0.7182000875473022,0.7069051265716553,0.4444444477558136,9.0,9.0,8.0,0.6560542583465576,0.671146035194397,0.6405200958251953,2384.0,2384.0,50.0,0.6517677903175354,0.6118906736373901,0.6357465982437134,2210.0,2210.0,50.0,0.6402000188827515,0.6264712810516357,0.6399555206298828,1797.0,1797.0,50.0,0.6502097249031067,0.650209903717041,0.6384375095367432,12184.59765625,0.6092298828125
1,149,0.5396875143051147,0.5099393725395203,0.8181818723678589,11.0,11.0,10.0,0.6523128747940063,0.6113576292991638,0.6394851207733154,2330.0,2330.0,50.0,0.6598262190818787,0.5781234502792358,0.6178058981895447,2224.0,2224.0,50.0,0.6725363731384277,0.7142949104309082,0.6288829445838928,1835.0,1835.0,50.0,0.6605287790298462,0.6605286598205566,0.6292188763618469,12064.955078125,0.6032477539062501
1,199,0.6489888429641724,0.448308527469635,0.5,10.0,10.0,10.0,0.6506840586662292,0.6133080720901489,0.6493011713027954,2361.0,2361.0,50.0,0.6358548402786255,0.65024733543396,0.6472494006156921,2163.0,2163.0,50.0,0.6425696015357971,0.5831310153007507,0.643086850643158,1866.0,1866.0,50.0,0.6433035731315613,0.6433037519454956,0.6465625762939453,11946.60546875,0.5973302734375
1,225,0.5801367163658142,0.5158448219299316,0.8333333730697632,6.0,6.0,5.0,0.6466478705406189,0.6049540042877197,0.6479217410087585,1227.0,1227.0,26.0,0.6260427236557007,0.6071020364761353,0.6707964539527893,1130.0,1130.0,26.0,0.5994930863380432,0.5782342553138733,0.6770720481872559,929.0,929.0,26.0,0.6254342794418335,0.6261467933654785,0.6643377542495728,11886.0302734375,0.594301513671875
2,49,0.5221714973449707,0.42540717124938965,0.800000011920929,15.0,15.0,12.0,0.6236092448234558,0.6570656299591064,0.6620016098022461,2358.0,2358.0,50.0,0.6367752552032471,0.6507737636566162,0.6501147747039795,2175.0,2175.0,50.0,0.6023285388946533,0.5731840133666992,0.6846652626991272,1852.0,1852.0,50.0,0.6216877698898315,0.6216877698898315,0.6648436784744263,11771.5732421875,0.588578662109375
2,99,0.6704919934272766,0.5711990594863892,0.6000000238418579,5.0,5.0,5.0,0.597610592842102,0.5955411791801453,0.6872867345809937,2344.0,2344.0,50.0,0.6079369783401489,0.6376444101333618,0.6729474663734436,2229.0,2229.0,50.0,0.6118137240409851,0.5708646178245544,0.655872642993927,1822.0,1822.0,50.0,0.6053074598312378,0.6053074598312378,0.6732812523841858,11657.248046875,0.58286240234375
2,149,0.5004804134368896,0.7586041688919067,0.6666666865348816,6.0,6.0,6.0,0.6159511208534241,0.6167669296264648,0.6734092235565186,2373.0,2373.0,50.0,0.6153864860534668,0.6453582048416138,0.6755026578903198,2188.0,2188.0,50.0,0.5980898141860962,0.6461634635925293,0.6857611536979675,1833.0,1833.0,50.0,0.6105339527130127,0.6105342507362366,0.6776562929153442,11545.423828125,0.57727119140625
2,199,0.5951809287071228,0.5835012197494507,0.7272727489471436,11.0,11.0,9.0,0.609833300113678,0.5709559321403503,0.6815735101699829,2415.0,2415.0,50.0,0.5899868011474609,0.5330077409744263,0.6981735825538635,2190.0,2190.0,50.0,0.6121914982795715,0.4914090633392334,0.6782510876655579,1784.0,1784.0,50.0,0.6036744117736816,0.6036742329597473,0.6864062547683716,11434.2314453125,0.5717115722656251
2,225,0.7765629291534424,0.7185250520706177,0.3333333432674408,3.0,3.0,3.0,0.6111285090446472,0.5865182876586914,0.6762225031852722,1186.0,1186.0,26.0,0.5905042290687561,0.5722888708114624,0.688380241394043,1136.0,1136.0,26.0,0.6212377548217773,0.6570857763290405,0.6628749370574951,967.0,967.0,26.0,0.6069055199623108,0.6071317791938782,0.6761846542358398,11376.603515625,0.5688301757812501
3,49,0.6131511926651001,0.650242030620575,0.625,8.0,8.0,8.0,0.5929139256477356,0.5923513174057007,0.6839486956596375,2411.0,2411.0,50.0,0.6022334694862366,0.6264972686767578,0.6839946508407593,2193.0,2193.0,50.0,0.5622143745422363,0.5786360502243042,0.7153245806694031,1788.0,1788.0,50.0,0.5875558853149414,0.5875559449195862,0.692656397819519,11266.5908203125,0.563329541015625
3,99,0.665359616279602,0.6018784642219543,0.5833333134651184,12.0,12.0,11.0,0.5943869948387146,0.59809410572052,0.6825329065322876,2353.0,2353.0,50.0,0.5670192837715149,0.5991150140762329,0.7116674780845642,2237.0,2237.0,50.0,0.5769789218902588,0.5286158919334412,0.7063404321670532,1798.0,1798.0,50.0,0.5800638794898987,0.5800636410713196,0.69921875,11158.3291015625,0.557916455078125
3,149,0.330949604511261,0.39891374111175537,1.0,6.0,6.0,6.0,0.5674444437026978,0.5358200073242188,0.7110362648963928,2374.0,2374.0,50.0,0.590462327003479,0.5999948978424072,0.6999072432518005,2156.0,2156.0,50.0,0.5817402005195618,0.6540648937225342,0.6974250078201294,1864.0,1864.0,50.0,0.5791404843330383,0.5791405439376831,0.7035937905311584,11050.171875,0.55250859375
3,199,0.4913407564163208,0.6417628526687622,0.800000011920929,10.0,10.0,10.0,0.5756491422653198,0.5483437776565552,0.702299952507019,2348.0,2348.0,50.0,0.584709644317627,0.604449987411499,0.7042253017425537,2201.0,2201.0,50.0,0.590336799621582,0.5947049260139465,0.6958174109458923,1841.0,1841.0,50.0,0.5828583836555481,0.5828583836555481,0.7012499570846558,10944.1435546875,0.547207177734375
3,225,0.6239133477210999,0.6253757476806641,0.75,4.0,4.0,4.0,0.5473651885986328,0.6021122932434082,0.7285715341567993,1190.0,1190.0,26.0,0.5766097903251648,0.5887902975082397,0.7232537865638733,1131.0,1131.0,26.0,0.5656474232673645,0.568434476852417,0.7094104886054993,967.0,967.0,26.0,0.5632523894309998,0.5628757476806641,0.7211421728134155,10889.9560546875,0.544497802734375
4,49,0.3816278278827667,0.3943559527397156,0.9000000357627869,10.0,10.0,8.0,0.5934531092643738,0.5736851692199707,0.692500114440918,2400.0,2400.0,50.0,0.5941107273101807,0.6166363954544067,0.6999086141586304,2186.0,2186.0,50.0,0.557600736618042,0.5073546767234802,0.7145233750343323,1804.0,1804.0,50.0,0.583240807056427,0.5832408666610718,0.7015626430511475,10786.2763671875,0.539313818359375
4,99,0.3532909154891968,0.3749941289424896,1.0,7.0,7.0,7.0,0.5713783502578735,0.5690725445747375,0.7101076245307922,2325.0,2325.0,50.0,0.5498919486999512,0.5353773832321167,0.7187933921813965,2155.0,2155.0,50.0,0.5743005275726318,0.5154241323471069,0.7067432403564453,1913.0,1913.0,50.0,0.5647783279418945,0.5647783875465393,0.712343692779541,10684.298828125,0.53421494140625
