epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,49,1.1893125772476196,0.827342689037323,0.5212766528129578,94.0,94.0,43.0,1.1674977540969849,0.766162097454071,0.5504111647605896,2311.0,2311.0,50.0,1.208692193031311,0.7865911722183228,0.5244983434677124,2143.0,2143.0,50.0,1.1614711284637451,0.7752178311347961,0.5345572233200073,1852.0,1852.0,50.0,1.1798677444458008,1.1798678636550903,0.5367187857627869,12458.146484375,0.6229073242187501
0,99,0.6860500574111938,0.6111035346984863,0.5779815316200256,109.0,109.0,46.0,0.662091076374054,0.6589515209197998,0.6398124098777771,2346.0,2346.0,50.0,0.6813073754310608,0.6750832796096802,0.6306977868080139,2150.0,2150.0,50.0,0.6654006242752075,0.6962704658508301,0.6384402513504028,1795.0,1795.0,50.0,0.6698828935623169,0.6698827743530273,0.635312557220459,12342.3203125,0.6171160156250001
0,149,0.6267804503440857,0.609568178653717,0.6190477013587952,84.0,84.0,37.0,0.6361326575279236,0.6246953010559082,0.6385542154312134,2407.0,2407.0,50.0,0.6421560049057007,0.6368463039398193,0.6406686305999756,2154.0,2154.0,50.0,0.6276780366897583,0.6056908369064331,0.6592593193054199,1755.0,1755.0,50.0,0.635718822479248,0.6357187032699585,0.6446875333786011,12225.2431640625,0.611262158203125
0,199,0.5899198651313782,0.6190234422683716,0.7157894968986511,95.0,95.0,45.0,0.6263030767440796,0.6238459944725037,0.652399480342865,2313.0,2313.0,50.0,0.6377198696136475,0.642394483089447,0.649817705154419,2196.0,2196.0,50.0,0.6218586564064026,0.6224965453147888,0.6486635804176331,1796.0,1796.0,50.0,0.6284332871437073,0.6284331679344177,0.6514061689376831,12109.279296875,0.60546396484375
0,228,0.6541149020195007,0.6642036437988281,0.6271186470985413,59.0,59.0,26.0,0.6312375068664551,0.6270939111709595,0.6451115608215332,1299.0,1299.0,29.0,0.6075990796089172,0.6094664335250854,0.672156810760498,1275.0,1275.0,29.0,0.6082359552383423,0.6147204637527466,0.6811321377754211,1060.0,1060.0,29.0,0.6166855096817017,0.6168397665023804,0.6645004153251648,12042.322265625,0.60211611328125
1,49,0.5611257553100586,0.6982347369194031,0.7204301357269287,93.0,93.0,46.0,0.5963394045829773,0.6174508333206177,0.684350311756134,2262.0,2262.0,50.0,0.6142486333847046,0.6337602734565735,0.6804217100143433,2181.0,2181.0,50.0,0.6259064078330994,0.6089127063751221,0.6604076623916626,1864.0,1864.0,50.0,0.610542356967926,0.6105422377586365,0.676562488079071,11929.212890625,0.59646064453125
1,99,0.6076067686080933,0.580419659614563,0.6630436182022095,92.0,92.0,39.0,0.6087719202041626,0.6159617900848389,0.6756988763809204,2325.0,2325.0,50.0,0.6024185419082642,0.6084412932395935,0.6830066442489624,2142.0,2142.0,50.0,0.6014302968978882,0.5969059467315674,0.6974468231201172,1841.0,1841.0,50.0,0.6045169830322266,0.604516863822937,0.68421870470047,11815.595703125,0.5907797851562501
1,149,0.5767124891281128,0.6172336935997009,0.7272727489471436,88.0,88.0,42.0,0.5861634016036987,0.5736404061317444,0.7054134607315063,2383.0,2383.0,50.0,0.5897244811058044,0.5579432845115662,0.7058553099632263,2169.0,2169.0,50.0,0.5923236608505249,0.5883981585502625,0.6982955932617188,1760.0,1760.0,50.0,0.5889344215393066,0.5889344215393066,0.7039064168930054,11702.1123046875,0.585105615234375
1,199,0.5871477723121643,0.504440188407898,0.6886792778968811,106.0,106.0,43.0,0.5790401101112366,0.5730435848236084,0.7023709416389465,2362.0,2362.0,50.0,0.567852258682251,0.5676223635673523,0.7179248929023743,2159.0,2159.0,50.0,0.5732982754707336,0.5803529024124146,0.7033277153968811,1773.0,1773.0,50.0,0.5738095045089722,0.5738096237182617,0.7076562643051147,11591.4453125,0.5795722656250001
1,228,0.5574405789375305,0.5260784029960632,0.7419356107711792,62.0,62.0,26.0,0.5454915761947632,0.5574774146080017,0.7395833134651184,1344.0,1344.0,29.0,0.5787156224250793,0.58575838804245,0.710339367389679,1267.0,1267.0,29.0,0.5823713541030884,0.5836408734321594,0.6921569108963013,1020.0,1020.0,29.0,0.5677216649055481,0.5672768950462341,0.7164906859397888,11527.7412109375,0.576387060546875
