epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,37,2.3209455013275146,1.3297570943832397,0.49285298585891724,3498.0,3498.0,38.0,1.6978119611740112,1.0519198179244995,0.5163044333457947,184.0,184.0,36.0,3.5929930210113525,3.9723737239837646,0.5535714626312256,56.0,56.0,31.0,1.8602182865142822,0.9344480633735657,0.5089876651763916,1057.0,1057.0,38.0,2.1892356872558594,2.2103278636932373,0.49801871180534363,486299.34375,24.314967187500002
1,37,1.0205124616622925,0.929052472114563,0.5182962417602539,3498.0,3498.0,38.0,0.7312441468238831,0.7248508334159851,0.5054348111152649,184.0,184.0,38.0,0.6820310354232788,0.870444655418396,0.553571343421936,56.0,56.0,28.0,0.7986043691635132,0.8099778890609741,0.5099337697029114,1057.0,1057.0,38.0,0.9553182721138,0.9565422534942627,0.5163712501525879,492888.25,24.6444125
2,37,0.8636125922203064,0.7678125500679016,0.5017152428627014,3498.0,3498.0,38.0,0.6666623950004578,0.6620096564292908,0.5326089262962341,184.0,184.0,38.0,0.6640141606330872,0.6996170282363892,0.6071428656578064,56.0,56.0,28.0,0.9017032980918884,0.733640193939209,0.5193943381309509,1057.0,1057.0,38.0,0.8597684502601624,0.862120509147644,0.5080291032791138,489388.375,24.469418750000003
3,37,0.6966683268547058,0.7016592621803284,0.5134363770484924,3498.0,3498.0,38.0,0.6753612756729126,0.6943807601928711,0.5380434393882751,184.0,184.0,38.0,0.6713343262672424,0.6775569319725037,0.4999999403953552,56.0,56.0,29.0,0.7121931314468384,0.7322319149971008,0.5383159518241882,1057.0,1057.0,38.0,0.6998094916343689,0.6989771127700806,0.5197080969810486,485683.53125,24.2841765625
4,37,0.7301690578460693,0.727414071559906,0.5057174563407898,3498.0,3498.0,38.0,0.6796886920928955,0.6795611381530762,0.5108696222305298,184.0,184.0,38.0,0.6732074618339539,0.6699751615524292,0.5,56.0,56.0,28.0,0.6856901049613953,0.6913469433784485,0.522232711315155,1057.0,1057.0,38.0,0.7197925448417664,0.7177618741989136,0.5094889402389526,482003.71875,24.1001859375
5,37,0.7053989171981812,0.7110735177993774,0.5177244544029236,3498.0,3498.0,38.0,0.6895129680633545,0.692779541015625,0.4891304671764374,184.0,184.0,38.0,0.6750186681747437,0.6694636344909668,0.4999999701976776,56.0,56.0,32.0,0.7373623847961426,0.7222017049789429,0.4957426190376282,1057.0,1057.0,38.0,0.711114227771759,0.7114804983139038,0.5115745663642883,478349.78125,23.9174890625
6,37,0.7170093655586243,0.7078718543052673,0.5131503343582153,3498.0,3498.0,38.0,0.6662375926971436,0.6729254126548767,0.5489131808280945,184.0,184.0,37.0,0.6705358028411865,0.6789690256118774,0.5535715222358704,56.0,56.0,29.0,0.6985705494880676,0.6722187399864197,0.5458844304084778,1057.0,1057.0,38.0,0.7097196578979492,0.7104537487030029,0.5222105979919434,474723.71875,23.7361859375
7,37,0.6683045625686646,0.6589924693107605,0.5931960344314575,3498.0,3498.0,38.0,0.7348440289497375,0.6312812566757202,0.6413043737411499,184.0,184.0,38.0,0.6692936420440674,0.6885927319526672,0.5535714626312256,56.0,56.0,25.0,0.6545054912567139,0.6411562561988831,0.5922421813011169,1057.0,1057.0,38.0,0.6670025587081909,0.6678276062011719,0.594369113445282,471129.875,23.55649375
8,37,0.6511289477348328,0.6560887098312378,0.6200686693191528,3498.0,3498.0,38.0,0.6218278408050537,0.6033891439437866,0.6467391848564148,184.0,184.0,36.0,0.6209596991539001,0.5448881983757019,0.6785714030265808,56.0,56.0,31.0,0.6675815582275391,0.6497970223426819,0.6064335107803345,1057.0,1057.0,38.0,0.6534932255744934,0.6532790064811707,0.618769645690918,467567.25,23.3783625
9,37,0.6362449526786804,0.626883327960968,0.6289308667182922,3498.0,3498.0,38.0,0.5853757262229919,0.5872088074684143,0.7010868787765503,184.0,184.0,38.0,0.6117026209831238,0.655272364616394,0.660714328289032,56.0,56.0,32.0,0.6372284293174744,0.6527705192565918,0.6537370085716248,1057.0,1057.0,38.0,0.6342281103134155,0.6342231035232544,0.6375390887260437,464028.34375,23.201417187500002
10,37,0.650537371635437,0.6614535450935364,0.638079047203064,3498.0,3498.0,38.0,0.6310849189758301,0.6078912615776062,0.6739130616188049,184.0,184.0,38.0,0.6126179099082947,0.6189537048339844,0.6607142686843872,56.0,56.0,32.0,0.6377118229866028,0.6445283889770508,0.6263009309768677,1057.0,1057.0,38.0,0.6468454599380493,0.6465207934379578,0.6371220946311951,460514.1875,23.025709375
11,37,0.6096649765968323,0.6033708453178406,0.6775299906730652,3498.0,3498.0,38.0,0.592631995677948,0.5754579901695251,0.6793478727340698,184.0,184.0,38.0,0.6296884417533875,0.5796003341674805,0.6428571343421936,56.0,56.0,29.0,0.5999447107315063,0.5797598958015442,0.6849573254585266,1057.0,1057.0,38.0,0.6064664125442505,0.6071025133132935,0.6788320541381836,457029.375,22.851468750000002
