epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,37,1.872596263885498,1.0320583581924438,0.5054316520690918,3498.0,3498.0,38.0,1.7875322103500366,0.8010767698287964,0.5597825646400452,184.0,184.0,38.0,2.3273727893829346,1.2444541454315186,0.4107142388820648,56.0,56.0,31.0,1.9908360242843628,1.090894341468811,0.48060548305511475,1057.0,1057.0,38.0,1.8898335695266724,1.9007079601287842,0.5009384751319885,12767.060546875,0.63835302734375
1,37,0.7305814623832703,0.7613490223884583,0.5331618189811707,3498.0,3498.0,38.0,0.6948575973510742,0.6688520312309265,0.5163045525550842,184.0,184.0,38.0,0.7283681035041809,0.7115150690078735,0.3214285969734192,56.0,56.0,27.0,0.7093468904495239,0.6885848045349121,0.5411542057991028,1057.0,1057.0,38.0,0.7256789803504944,0.7245038151741028,0.5318039655685425,12694.787109375,0.63473935546875
2,37,0.7083656787872314,0.697483479976654,0.556889533996582,3498.0,3498.0,38.0,0.7204654812812805,0.6327469944953918,0.5489130020141602,184.0,184.0,38.0,0.671710193157196,0.7057965993881226,0.5535714030265808,56.0,56.0,28.0,0.7050531506538391,0.6815795302391052,0.5657522082328796,1057.0,1057.0,38.0,0.7072575688362122,0.7076717019081116,0.5584983825683594,12598.8994140625,0.629944970703125
3,37,0.6804378628730774,0.6836199760437012,0.5754716992378235,3498.0,3498.0,38.0,0.7395384311676025,0.8033350706100464,0.5434783101081848,184.0,184.0,38.0,0.669441819190979,0.7067301273345947,0.4821428060531616,56.0,56.0,28.0,0.663682758808136,0.6532297134399414,0.5865659117698669,1057.0,1057.0,38.0,0.6786882281303406,0.6788838505744934,0.5755996108055115,12503.9482421875,0.6251974121093751
4,37,0.6757157444953918,0.6732083559036255,0.5900516510009766,3498.0,3498.0,38.0,0.70804762840271,0.7152683734893799,0.5380433797836304,184.0,184.0,38.0,0.7041876912117004,0.7028208374977112,0.4821428060531616,56.0,56.0,31.0,0.6640219688415527,0.6130229830741882,0.6130555272102356,1057.0,1057.0,38.0,0.6740171313285828,0.6747111678123474,0.5918665528297424,12409.5859375,0.620479296875
5,37,0.6714300513267517,0.6609786152839661,0.5963408350944519,3498.0,3498.0,38.0,0.6840991377830505,0.6710751056671143,0.6032608151435852,184.0,184.0,38.0,0.6950733661651611,0.7019471526145935,0.5357143878936768,56.0,56.0,31.0,0.656609296798706,0.6708166599273682,0.6206244826316833,1057.0,1057.0,38.0,0.668434202671051,0.6689252853393555,0.6012513637542725,12316.4560546875,0.6158228027343751
6,37,0.6650014519691467,0.658643364906311,0.6234992146492004,3498.0,3498.0,38.0,0.7096713185310364,0.6335017681121826,0.5326087474822998,184.0,184.0,38.0,0.7303966879844666,0.7606292366981506,0.4285714030265808,56.0,56.0,27.0,0.6297947764396667,0.6161242127418518,0.6575212478637695,1057.0,1057.0,38.0,0.6590684652328491,0.65971839427948,0.6252346634864807,12224.6484375,0.611232421875
7,37,0.6411224007606506,0.6202264428138733,0.6406519412994385,3498.0,3498.0,38.0,0.6084564328193665,0.5865541696548462,0.6956521272659302,184.0,184.0,35.0,0.7785485982894897,0.7320402264595032,0.48214292526245117,56.0,56.0,31.0,0.6331234574317932,0.6189852356910706,0.6698201298713684,1057.0,1057.0,38.0,0.638844907283783,0.6397106051445007,0.6473410725593567,12134.423828125,0.60672119140625
8,37,0.6284123063087463,0.6404730677604675,0.6600914597511292,3498.0,3498.0,38.0,0.61534583568573,0.6642172932624817,0.64673912525177,184.0,184.0,38.0,0.744363009929657,0.6833281517028809,0.5178570747375488,56.0,56.0,28.0,0.6206937432289124,0.5992299914360046,0.6641439199447632,1057.0,1057.0,38.0,0.6274888515472412,0.6275635957717896,0.6588112115859985,12046.1328125,0.6023066406250001
9,37,0.6190837025642395,0.6010705232620239,0.6686677932739258,3498.0,3498.0,38.0,0.6015430092811584,0.5672752857208252,0.6739130020141602,184.0,184.0,38.0,0.6637924313545227,0.5707823038101196,0.5892856121063232,56.0,56.0,32.0,0.6055393815040588,0.6088160872459412,0.6622517108917236,1057.0,1057.0,38.0,0.6159749031066895,0.6159470677375793,0.6665276288986206,11957.9580078125,0.5978979003906251
