epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,37,4.736712455749512,3.2680933475494385,0.502001166343689,3498.0,3498.0,38.0,5.643349647521973,2.0137572288513184,0.5271738767623901,184.0,184.0,38.0,1.4001612663269043,0.8617986440658569,0.4821428954601288,56.0,56.0,29.0,4.7333760261535645,2.200718879699707,0.4853358268737793,1057.0,1057.0,38.0,4.6813063621521,4.731800556182861,0.4990615248680115,97033.875,4.85169375
1,37,0.92600417137146,0.9120259284973145,0.5214408040046692,3498.0,3498.0,38.0,1.7709548473358154,0.9385849833488464,0.5815216302871704,184.0,184.0,37.0,0.7719628214836121,0.7336112856864929,0.392857164144516,56.0,56.0,31.0,1.0538049936294556,0.9329699873924255,0.5269630551338196,1057.0,1057.0,38.0,0.9800953269004822,0.9848008155822754,0.5234619379043579,100147.3515625,5.007367578125001
2,37,0.9293516278266907,0.7601713538169861,0.5220123529434204,3498.0,3498.0,38.0,0.7584400773048401,0.7517204880714417,0.5271738171577454,184.0,184.0,38.0,0.6832523941993713,0.6305373311042786,0.4107142984867096,56.0,56.0,27.0,0.743257462978363,0.7196570038795471,0.5402080416679382,1057.0,1057.0,38.0,0.8760634064674377,0.8788967728614807,0.5249215960502625,99479.9765625,4.9739988281250005
3,37,0.7713806629180908,0.7883014678955078,0.5400229692459106,3498.0,3498.0,38.0,0.699012279510498,0.6959913372993469,0.5489131212234497,184.0,184.0,38.0,0.7376250624656677,0.7826792597770691,0.4285714328289032,56.0,56.0,32.0,0.7381138205528259,0.7269223928451538,0.5345317721366882,1057.0,1057.0,38.0,0.759885847568512,0.7608761787414551,0.5378520488739014,98729.6171875,4.936480859375
4,37,0.7329757213592529,0.7189998030662537,0.5646083354949951,3498.0,3498.0,38.0,0.6898337006568909,0.6467998623847961,0.6032609343528748,184.0,184.0,38.0,0.7470434904098511,0.7289403676986694,0.5357143878936768,56.0,56.0,33.0,0.7863819003105164,0.861452579498291,0.5752128958702087,1057.0,1057.0,38.0,0.7510676383972168,0.7432572245597839,0.5680917501449585,97981.46875,4.8990734375
5,37,0.737817108631134,0.7633697986602783,0.5717553496360779,3498.0,3498.0,38.0,0.700852632522583,0.6797440052032471,0.5869565606117249,184.0,184.0,38.0,0.6897051334381104,0.7304103970527649,0.5535714030265808,56.0,56.0,27.0,0.7434923648834229,0.6989104747772217,0.5969724655151367,1057.0,1057.0,38.0,0.7417963743209839,0.7370878458023071,0.5776851177215576,97239.1796875,4.861958984375001
6,37,0.7344944477081299,0.7093008160591125,0.5917667150497437,3498.0,3498.0,38.0,0.818211019039154,0.9698886275291443,0.6250001788139343,184.0,184.0,37.0,0.715910792350769,0.681391716003418,0.535714328289032,56.0,56.0,28.0,0.7030501961708069,0.7558834552764893,0.6026489734649658,1057.0,1057.0,38.0,0.730180561542511,0.7305583357810974,0.5947862267494202,96501.375,4.82506875
7,37,0.7062799334526062,0.6900943517684937,0.5846198201179504,3498.0,3498.0,38.0,0.7176616787910461,0.6818714737892151,0.6304347515106201,184.0,184.0,38.0,0.7799965739250183,0.6793820261955261,0.5535714030265808,56.0,56.0,29.0,0.7864625453948975,0.7674739360809326,0.6045411229133606,1057.0,1057.0,38.0,0.7244099378585815,0.7252529263496399,0.5904066562652588,95774.890625,4.78874453125
8,37,0.6939724087715149,0.6878060102462769,0.5849056243896484,3498.0,3498.0,38.0,0.6603999137878418,0.6820563077926636,0.6249999403953552,184.0,184.0,38.0,0.6843451857566833,0.7267314195632935,0.5535714030265808,56.0,56.0,32.0,0.732012927532196,0.7225066423416138,0.6083253026008606,1057.0,1057.0,38.0,0.7025443911552429,0.7009572386741638,0.5912408232688904,95048.59375,4.7524296875
9,37,0.6790537238121033,0.6726438403129578,0.5937678813934326,3498.0,3498.0,38.0,0.6570706963539124,0.6524701714515686,0.6086955070495605,184.0,184.0,38.0,0.727838933467865,0.7058508992195129,0.5178570747375488,56.0,56.0,30.0,0.670231819152832,0.687968909740448,0.6253547668457031,1057.0,1057.0,38.0,0.6759126782417297,0.6768352389335632,0.6004170775413513,94328.6953125,4.716434765625
10,37,0.6864145994186401,0.7040327787399292,0.6014864444732666,3498.0,3498.0,38.0,0.8118311166763306,0.8470770120620728,0.6086955070495605,184.0,184.0,38.0,0.717099666595459,0.6878495216369629,0.553571343421936,56.0,56.0,28.0,0.663633406162262,0.6809401512145996,0.6310312151908875,1057.0,1057.0,38.0,0.6865723729133606,0.6865637302398682,0.6077163219451904,93613.484375,4.68067421875
11,37,0.6714040040969849,0.6536009907722473,0.6069180965423584,3498.0,3498.0,38.0,0.6456192135810852,0.6085153818130493,0.5978262424468994,184.0,184.0,38.0,0.6928218007087708,0.7643083930015564,0.5535715818405151,56.0,56.0,28.0,0.657230019569397,0.6625410914421082,0.6414379477500916,1057.0,1057.0,38.0,0.6671035289764404,0.6675401926040649,0.6135556697845459,92904.078125,4.64520390625
12,37,0.671403706073761,0.6674774289131165,0.60977703332901,3498.0,3498.0,38.0,0.6502875685691833,0.6853143572807312,0.614130437374115,184.0,184.0,38.0,0.6734743118286133,0.7186235785484314,0.5892857909202576,56.0,56.0,29.0,0.6570426225662231,0.6681411862373352,0.6300850510597229,1057.0,1057.0,38.0,0.6677607893943787,0.6674518585205078,0.614181399345398,92200.296875,4.61001484375
